sub_category,main_category
پد و دستمال نظافت خودرو,ابزارآلات و تجهیزات خودرو
سوهان سنباده و سنبه,ابزارآلات و تجهیزات خودرو
کمپرسور باد,ابزارآلات و تجهیزات خودرو
جلوبندی و تعلیق خودرو,ابزارآلات و تجهیزات خودرو
سمپاش,ابزارآلات و تجهیزات خودرو
لنت ترمز موتور سیکلت,ابزارآلات و تجهیزات خودرو
لنت ترمز خودرو,ابزارآلات و تجهیزات خودرو
سایر لوازم جانبی موتور,ابزارآلات و تجهیزات خودرو
پوشش کف و سقف,ابزارآلات و تجهیزات خودرو
ضد یخ و آب رادیاتور,ابزارآلات و تجهیزات خودرو
خوشبو کننده و تصفیه هوای خودرو,ابزارآلات و تجهیزات خودرو
قفل,ابزارآلات و تجهیزات خودرو
شیشه بالابر خودرو,ابزارآلات و تجهیزات خودرو
لاستیک موتور,ابزارآلات و تجهیزات خودرو
تسمه تایم و هرزگرد,ابزارآلات و تجهیزات خودرو
کاتر,ابزارآلات و تجهیزات خودرو
کمک فنر,ابزارآلات و تجهیزات خودرو
بلبرینگ و کاسه نمد,ابزارآلات و تجهیزات خودرو
تلمبه,ابزارآلات و تجهیزات خودرو
فیلتر خودرو,ابزارآلات و تجهیزات خودرو
عینک و کلاه ایمنی,ابزارآلات و تجهیزات خودرو
پلوس سرپلوس و مشعلی,ابزارآلات و تجهیزات خودرو
میل لنگ و میل سوپاپ,ابزارآلات و تجهیزات خودرو
ردیاب خودرو,ابزارآلات و تجهیزات خودرو
اگزوز موتور,ابزارآلات و تجهیزات خودرو
جاسوئیچی,ابزارآلات و تجهیزات خودرو
سشوار صنعتی,ابزارآلات و تجهیزات خودرو
دستگیره درب و کمد,ابزارآلات و تجهیزات خودرو
کپسول آتش نشانی,ابزارآلات و تجهیزات خودرو
آچار,ابزارآلات و تجهیزات خودرو
علف زن و چمن زن,ابزارآلات و تجهیزات خودرو
قطعات الکترونیکی,ابزارآلات و تجهیزات خودرو
کاپوت و گلگیر,ابزارآلات و تجهیزات خودرو
تجهیزات کارگاهی,ابزارآلات و تجهیزات خودرو
باک موتور,ابزارآلات و تجهیزات خودرو
درب ورودی,ابزارآلات و تجهیزات خودرو
بست و واشر,ابزارآلات و تجهیزات خودرو
لامپ و چراغ موتور سیکلت,ابزارآلات و تجهیزات خودرو
مصالح ساختمانی,ابزارآلات و تجهیزات خودرو
رینگ و قالپاق خودرو,ابزارآلات و تجهیزات خودرو
نظم دهنده خودرو,ابزارآلات و تجهیزات خودرو
لباس کار,ابزارآلات و تجهیزات خودرو
کفش ایمنی,ابزارآلات و تجهیزات خودرو
روکش داشبورد و فرمان,ابزارآلات و تجهیزات خودرو
ملزومات باربری موتور,ابزارآلات و تجهیزات خودرو
موتور سیکلت برقی,ابزارآلات و تجهیزات خودرو
اتو لوله,ابزارآلات و تجهیزات خودرو
بکس و آچار ضربه ای,ابزارآلات و تجهیزات خودرو
انبر,ابزارآلات و تجهیزات خودرو
پمپ آب و کولر,ابزارآلات و تجهیزات خودرو
دستگاه مکنده و دمنده,ابزارآلات و تجهیزات خودرو
لوازم آبیاری,ابزارآلات و تجهیزات خودرو
نردبان,ابزارآلات و تجهیزات خودرو
لوازم تزئینی باغبانی,ابزارآلات و تجهیزات خودرو
کاربراتور موتور سیکلت,ابزارآلات و تجهیزات خودرو
ابزار اندازه گیری دستی,ابزارآلات و تجهیزات خودرو
قفل خودرو,ابزارآلات و تجهیزات خودرو
لوازم زنبورداری,ابزارآلات و تجهیزات خودرو
گیره و پیچ دستی,ابزارآلات و تجهیزات خودرو
دزدگیر خودرو,ابزارآلات و تجهیزات خودرو
چک خودرو,ابزارآلات و تجهیزات خودرو
سایر لوازم خودرو,ابزارآلات و تجهیزات خودرو
صفحه کلاچ موتور,ابزارآلات و تجهیزات خودرو
میخ,ابزارآلات و تجهیزات خودرو
سرسیلندر و واشر سرسیلندر,ابزارآلات و تجهیزات خودرو
سیم کلاچ و ترمز خودرو,ابزارآلات و تجهیزات خودرو
کوئل شمع و وایر شمع,ابزارآلات و تجهیزات خودرو
پیچ و مهره,ابزارآلات و تجهیزات خودرو
کفشور,ابزارآلات و تجهیزات خودرو
دستکش کار,ابزارآلات و تجهیزات خودرو
تجهیزات باربری,ابزارآلات و تجهیزات خودرو
اره برقی و موتوری,ابزارآلات و تجهیزات خودرو
پیچ گوشتی برقی و شارژی,ابزارآلات و تجهیزات خودرو
شمع موتور سیکلت,ابزارآلات و تجهیزات خودرو
کارواش,ابزارآلات و تجهیزات خودرو
دستگاه چسب,ابزارآلات و تجهیزات خودرو
ابزار اندازه گیری دیجیتال,ابزارآلات و تجهیزات خودرو
پیچ گوشتی و فازمتر,ابزارآلات و تجهیزات خودرو
پوستر و کاغذ دیواری,ابزارآلات و تجهیزات خودرو
سپر و بال خودرو,ابزارآلات و تجهیزات خودرو
واکس و پولیش خودرو,ابزارآلات و تجهیزات خودرو
لامپ و چراغ خودرو,ابزارآلات و تجهیزات خودرو
استپر موتور خودرو,ابزارآلات و تجهیزات خودرو
موتور برق,ابزارآلات و تجهیزات خودرو
دریل و مته,ابزارآلات و تجهیزات خودرو
لولا و آرام بند,ابزارآلات و تجهیزات خودرو
شعله افکن,ابزارآلات و تجهیزات خودرو
تیغه برف پاک کن,ابزارآلات و تجهیزات خودرو
قیچی چاقو و ابزار باغبانی,ابزارآلات و تجهیزات خودرو
رنگ و اسپری ساختمان,ابزارآلات و تجهیزات خودرو
تبر بیل و کلنگ,ابزارآلات و تجهیزات خودرو
زنجیر چرخ,ابزارآلات و تجهیزات خودرو
تجهیزات راحتی خودرو,ابزارآلات و تجهیزات خودرو
اره,ابزارآلات و تجهیزات خودرو
دستگاه جوش,ابزارآلات و تجهیزات خودرو
مکمل سوخت خودرو,ابزارآلات و تجهیزات خودرو
منگنه کوب و میخ کوب,ابزارآلات و تجهیزات خودرو
لوله و اتصالات,ابزارآلات و تجهیزات خودرو
فن و رادیاتور خودرو,ابزارآلات و تجهیزات خودرو
ابزار نقاشی ساختمان,ابزارآلات و تجهیزات خودرو
سر اگزوز,ابزارآلات و تجهیزات خودرو
باتری موتور سیکلت,ابزارآلات و تجهیزات خودرو
پمپ و باک خودرو,ابزارآلات و تجهیزات خودرو
صوتی تصویری خودرو,ابزارآلات و تجهیزات خودرو
چکش و تیشه,ابزارآلات و تجهیزات خودرو
فرز و پروفیل بر,ابزارآلات و تجهیزات خودرو
تجهیزات بیرونی خودرو,ابزارآلات و تجهیزات خودرو
کیلومتر موتور,ابزارآلات و تجهیزات خودرو
گاوصندوق,ابزارآلات و تجهیزات خودرو
روغن خودرو,ابزارآلات و تجهیزات خودرو
لوازم روانکاری,ابزارآلات و تجهیزات خودرو
ست ابزار,ابزارآلات و تجهیزات خودرو
هویه و لحیم,ابزارآلات و تجهیزات خودرو
شلنگ,ابزارآلات و تجهیزات خودرو
ابزار جوشکاری,ابزارآلات و تجهیزات خودرو
حسگر و سنسور خودرو,ابزارآلات و تجهیزات خودرو
باتری دینام و استارت,ابزارآلات و تجهیزات خودرو
بوش و پیستون,ابزارآلات و تجهیزات خودرو
دیسک و صفحه خودرو,ابزارآلات و تجهیزات خودرو
لاستیک خودرو,ابزارآلات و تجهیزات خودرو
آینه خودرو,ابزارآلات و تجهیزات خودرو
چسب صنعتی و حلال چسب,ابزارآلات و تجهیزات خودرو
تجهیزات ایمنی موتورسواری,ابزارآلات و تجهیزات خودرو
شیر آلات,ابزارآلات و تجهیزات خودرو
جعبه و کیف ابزار,ابزارآلات و تجهیزات خودرو
روکش صندلی خودرو,ابزارآلات و تجهیزات خودرو
فرغون,ابزارآلات و تجهیزات خودرو
سایر لوازم یدکی موتورسیکلت,ابزارآلات و تجهیزات خودرو
کفپوش خودرو,ابزارآلات و تجهیزات خودرو
رادیاتور,ابزارآلات و تجهیزات خودرو
جلو پنجره و قاب پلاک,ابزارآلات و تجهیزات خودرو
آرایش ابرو,آرایشی و بهداشتی
ماسک صورت,آرایشی و بهداشتی
ابزار تتو,آرایشی و بهداشتی
خمیر دندان,آرایشی و بهداشتی
کرم دست، صورت و بدن,آرایشی و بهداشتی
لوازم کاشت و تقویت ناخن,آرایشی و بهداشتی
شوینده بدن و مو,آرایشی و بهداشتی
مداد و سایه ابرو,آرایشی و بهداشتی
حالت دهنده مو,آرایشی و بهداشتی
سشوار,آرایشی و بهداشتی
لاک پاک کن,آرایشی و بهداشتی
لنز چشم,آرایشی و بهداشتی
موبر صورت و بدن,آرایشی و بهداشتی
اسکراب و لایه بردار,آرایشی و بهداشتی
کرم دور چشم,آرایشی و بهداشتی
کش و چسب لیفت,آرایشی و بهداشتی
اتو و برس حرارتی مو,آرایشی و بهداشتی
لاک ناخن,آرایشی و بهداشتی
حجم دهنده,آرایشی و بهداشتی
بادی اسپلش,آرایشی و بهداشتی
رژ لب مایع,آرایشی و بهداشتی
کرم ضد آفتاب,آرایشی و بهداشتی
پاک کننده آرایش و صورت,آرایشی و بهداشتی
مسواک,آرایشی و بهداشتی
ابزار چشم و مژه,آرایشی و بهداشتی
خط چشم و سرمه,آرایشی و بهداشتی
پاک سازی پوست,آرایشی و بهداشتی
ماسک مو,آرایشی و بهداشتی
عطر و ادکلن بچگانه,آرایشی و بهداشتی
ماشین اصلاح,آرایشی و بهداشتی
شانه و برس,آرایشی و بهداشتی
افترشیو,آرایشی و بهداشتی
تقویت کننده مو و ابرو و مژه,آرایشی و بهداشتی
صابون,آرایشی و بهداشتی
روغن های پوست و مو,آرایشی و بهداشتی
کیف و جعبه لوازم آرایش,آرایشی و بهداشتی
تیغ و خود تراش,آرایشی و بهداشتی
کرم مو,آرایشی و بهداشتی
تونر پوست و مو,آرایشی و بهداشتی
استیکر و نگین ناخن,آرایشی و بهداشتی
پرایمر,آرایشی و بهداشتی
تجهیزات رنگ مو,آرایشی و بهداشتی
مداد و خط لب,آرایشی و بهداشتی
پنکک,آرایشی و بهداشتی
فر کننده مو,آرایشی و بهداشتی
رژ گونه,آرایشی و بهداشتی
رژ لب جامد,آرایشی و بهداشتی
کرم روشن کننده,آرایشی و بهداشتی
گوش پاک کن,آرایشی و بهداشتی
آرایش مژه,آرایشی و بهداشتی
ریمل,آرایشی و بهداشتی
ابزار مو,آرایشی و بهداشتی
مداد چشم,آرایشی و بهداشتی
ابزار ابرو,آرایشی و بهداشتی
ید و نوار بهداشتی,آرایشی و بهداشتی
رنگ مو,آرایشی و بهداشتی
